日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-05-27,000333,47.85,47.85,48.98,47.49,258065,1517718672.0,3.13,0.53,0.25,0.38
2020-05-28,000333,48.77,47.75,48.97,47.43,206031,1207714976.0,3.22,-0.21,-0.1,0.3
2020-05-29,000333,47.59,48.62,48.85,47.59,182549,1073961440.0,2.64,1.82,0.87,0.27
2020-06-01,000333,48.9,50.02,50.08,48.9,294803,1776563600.0,2.43,2.88,1.4,0.43
2020-06-02,000333,50.86,49.9,50.86,49.75,206805,1218477904.0,2.22,-0.24,-0.12,0.3
2020-06-03,000333,50.35,49.53,50.57,49.11,180929,1059003040.0,2.93,-0.74,-0.37,0.27
2020-06-04,000333,50.05,50.05,51.1,49.91,140258,827157600.0,2.4,1.05,0.52,0.21
2020-06-05,000333,50.19,50.15,50.38,49.8,127259,749286688.0,1.16,0.2,0.1,0.19
2020-06-08,000333,50.6,51.36,52.76,50.23,359440,2180630896.0,5.04,2.41,1.21,0.53
2020-06-09,000333,51.75,51.86,52.63,51.48,240135,1463794176.0,2.24,0.97,0.5,0.35
2020-06-10,000333,52.28,51.52,52.41,51.38,190148,1153412208.0,1.99,-0.66,-0.34,0.28
2020-06-11,000333,51.55,50.86,51.81,50.3,201377,1204181856.0,2.93,-1.28,-0.66,0.29
2020-06-12,000333,49.9,51.18,51.2,49.7,185190,1097620784.0,2.95,0.63,0.32,0.27
2020-06-15,000333,50.29,49.2,50.63,49.2,320004,1872474032.0,2.79,-3.87,-1.98,0.47
2020-06-16,000333,49.89,50.2,50.5,49.79,183088,1077626688.0,1.44,2.03,1.0,0.27
2020-06-17,000333,50.01,49.1,50.08,48.85,221283,1285597248.0,2.45,-2.19,-1.1,0.32
2020-06-18,000333,49.05,49.05,49.19,48.36,267225,1537168000.0,1.69,-0.1,-0.05,0.39
2020-06-19,000333,49.05,50.97,51.18,49.05,324280,1923447888.0,4.34,3.91,1.92,0.47
2020-06-22,000333,50.8,50.29,51.15,50.12,219797,1306914544.0,2.02,-1.33,-0.68,0.32
2020-06-23,000333,50.06,50.2,50.66,49.68,181146,1068928528.0,1.95,-0.18,-0.09,0.26
2020-06-24,000333,50.4,50.9,51.38,50.29,200320,1194505232.0,2.17,1.39,0.7,0.29
2020-06-29,000333,50.9,51.15,51.2,49.91,261061,1557837552.0,2.53,0.49,0.25,0.38
2020-06-30,000333,51.2,50.99,52.2,50.7,261252,1577689216.0,2.93,-0.31,-0.16,0.38
2020-07-01,000333,50.9,53.64,53.69,50.12,442610,2719438560.0,7.0,5.2,2.65,0.65
2020-07-02,000333,53.01,54.15,54.62,52.81,435262,2715825424.0,3.37,0.95,0.51,0.63
2020-07-03,000333,54.3,53.59,55.15,53.03,340798,2137708208.0,3.92,-1.03,-0.56,0.5
2020-07-06,000333,54.01,55.23,56.19,53.71,599258,3811821936.0,4.63,3.06,1.64,0.87
2020-07-07,000333,55.34,55.58,58.75,55.3,490390,3224341184.0,6.25,0.63,0.35,0.72
2020-07-08,000333,55.5,55.18,56.5,54.46,284820,1818108352.0,3.67,-0.72,-0.4,0.42
2020-07-09,000333,55.2,56.18,56.2,54.2,312281,1993727712.0,3.62,1.81,1.0,0.46
2020-07-10,000333,55.7,54.6,55.72,54.4,273297,1741014720.0,2.35,-2.81,-1.58,0.4
2020-07-13,000333,54.12,54.45,55.3,54.04,344679,2186339088.0,2.31,-0.27,-0.15,0.5
2020-07-14,000333,55.06,53.04,55.07,52.39,382960,2377225472.0,4.92,-2.59,-1.41,0.56
2020-07-15,000333,53.09,54.18,55.2,53.05,436949,2750957936.0,4.05,2.15,1.14,0.64
2020-07-16,000333,54.2,52.34,55.69,52.29,369589,2326871248.0,6.28,-3.4,-1.84,0.54
2020-07-17,000333,52.0,55.1,55.62,51.92,360876,2269485712.0,7.07,5.27,2.76,0.53
2020-07-20,000333,55.1,58.58,58.88,54.48,600694,3970335088.0,7.99,6.32,3.48,0.88
2020-07-21,000333,58.2,58.55,59.12,57.27,328747,2206459248.0,3.16,-0.05,-0.03,0.48
2020-07-22,000333,58.0,58.55,59.18,57.51,303898,2045490784.0,2.85,0.0,0.0,0.44
2020-07-23,000333,57.7,61.39,61.67,57.56,487159,3361999488.0,7.02,4.85,2.84,0.71
2020-07-24,000333,60.37,57.7,61.35,57.2,409256,2781427888.0,6.76,-6.01,-3.69,0.6
2020-07-27,000333,58.81,58.38,59.0,56.0,273029,1806012288.0,5.2,1.18,0.68,0.4
2020-07-28,000333,58.38,58.31,59.74,57.82,234103,1580820576.0,3.29,-0.12,-0.07,0.34
2020-07-29,000333,58.55,62.83,63.2,58.55,460542,3268094880.0,7.97,7.75,4.52,0.67
2020-07-30,000333,62.8,62.17,63.5,61.45,194808,1385613248.0,3.26,-1.05,-0.66,0.28
2020-07-31,000333,61.78,62.95,64.95,61.27,293575,2117686416.0,5.92,1.25,0.78,0.43
2020-08-03,000333,63.2,63.69,65.94,63.01,343310,2510509104.0,4.65,1.18,0.74,0.5
2020-08-04,000333,63.2,63.25,63.48,61.53,292271,2081709104.0,3.06,-0.69,-0.44,0.43
2020-08-05,000333,62.2,62.6,63.6,62.0,191118,1362330032.0,2.53,-1.03,-0.65,0.28
2020-08-06,000333,62.2,61.8,63.0,61.24,218735,1545541040.0,2.81,-1.28,-0.8,0.32
2020-08-07,000333,61.58,61.75,62.31,60.05,254144,1782876112.0,3.66,-0.08,-0.05,0.37
2020-08-10,000333,61.4,63.2,63.6,60.5,241055,1710556592.0,5.02,2.35,1.45,0.35
2020-08-11,000333,63.35,62.5,64.69,62.38,205681,1492137504.0,3.66,-1.11,-0.7,0.3
2020-08-12,000333,61.86,60.86,62.81,60.37,289738,2027499312.0,3.9,-2.62,-1.64,0.42
2020-08-13,000333,61.01,61.21,62.28,60.98,130645,917532048.0,2.14,0.58,0.35,0.19
2020-08-14,000333,61.2,63.24,63.27,60.93,161197,1148282704.0,3.82,3.32,2.03,0.24
2020-08-17,000333,63.6,63.33,65.0,62.6,245172,1785517680.0,3.8,0.14,0.09,0.36
2020-08-18,000333,63.34,63.0,63.94,62.26,193015,1382264208.0,2.65,-0.52,-0.33,0.28
2020-08-19,000333,62.9,61.32,63.5,61.2,253273,1791352688.0,3.65,-2.67,-1.68,0.37
2020-08-20,000333,61.0,60.24,61.29,59.85,219076,1513934320.0,2.35,-1.76,-1.08,0.32
2020-08-21,000333,60.35,60.58,61.08,60.05,126456,876813904.0,1.71,0.56,0.34,0.18
2020-08-24,000333,60.5,61.57,61.59,60.36,174279,1215646640.0,2.03,1.63,0.99,0.25
2020-08-25,000333,61.55,61.18,61.6,60.74,179318,1254921568.0,1.4,-0.63,-0.39,0.26
2020-08-26,000333,61.18,60.49,62.6,59.85,237702,1661357456.0,4.49,-1.13,-0.69,0.35
2020-08-27,000333,60.5,59.19,61.05,58.29,342932,2327750656.0,4.56,-2.15,-1.3,0.5
2020-08-28,000333,58.6,61.48,61.72,58.3,323186,2228514544.0,5.78,3.87,2.29,0.47
2020-08-31,000333,62.23,61.74,64.69,61.73,258683,1852443296.0,4.81,0.42,0.26,0.38
2020-09-01,000333,61.76,62.9,63.42,61.75,205477,1468837504.0,2.7,1.88,1.16,0.3
2020-09-02,000333,63.2,62.13,63.69,61.58,183108,1304982304.0,3.35,-1.22,-0.77,0.27
2020-09-03,000333,62.2,62.13,64.18,61.92,325309,2340687056.0,3.64,0.0,0.0,0.48
2020-09-04,000333,60.7,59.99,61.08,59.4,359336,2474691328.0,2.7,-3.44,-2.14,0.53
2020-09-07,000333,59.3,57.9,59.87,57.69,442226,2971282416.0,3.63,-3.48,-2.09,0.65
2020-09-08,000333,57.9,58.08,58.2,56.84,263509,1747654432.0,2.35,0.31,0.18,0.39
2020-09-09,000333,57.2,56.06,57.78,55.93,284542,1861646752.0,3.19,-3.48,-2.02,0.42
2020-09-10,000333,56.71,57.1,57.41,56.11,210302,1381763376.0,2.32,1.86,1.04,0.31
2020-09-11,000333,56.7,57.38,58.0,55.78,215127,1421649984.0,3.89,0.49,0.28,0.31
2020-09-14,000333,57.48,59.2,59.45,57.4,217393,1469293456.0,3.57,3.17,1.82,0.32
2020-09-15,000333,59.72,61.62,61.97,59.66,290016,2033590880.0,3.9,4.09,2.42,0.42
2020-09-16,000333,61.49,60.86,63.18,60.4,291213,2060063616.0,4.51,-1.23,-0.76,0.43
2020-09-17,000333,61.0,61.8,62.2,60.51,274435,1932446432.0,2.78,1.54,0.94,0.4
2020-09-18,000333,62.32,61.48,62.53,61.24,217515,1538451552.0,2.09,-0.52,-0.32,0.32
2020-09-21,000333,61.45,61.23,62.36,60.61,165610,1164163888.0,2.85,-0.41,-0.25,0.24
2020-09-22,000333,60.7,61.09,61.76,60.66,139967,978793360.0,1.8,-0.23,-0.14,0.2
2020-09-23,000333,61.21,62.27,62.56,60.68,171445,1211864656.0,3.08,1.93,1.18,0.25
2020-09-24,000333,61.76,61.66,62.15,60.87,200758,1410207328.0,2.06,-0.98,-0.61,0.29
