日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-05-27,002415,23.69,23.62,23.96,23.49,276971,785352224.0,1.98,-0.25,-0.06,0.34
2020-05-28,002415,23.6,23.71,23.83,23.16,280537,791177072.0,2.84,0.38,0.09,0.35
2020-05-29,002415,23.75,23.47,23.85,23.31,397048,1091959264.0,2.28,-1.01,-0.24,0.49
2020-06-01,002415,23.6,24.7,24.81,23.6,640902,1808425152.0,5.16,5.24,1.23,0.79
2020-06-02,002415,24.6,24.62,24.97,24.21,470341,1342960976.0,3.08,-0.32,-0.08,0.58
2020-06-03,002415,24.72,24.56,24.8,24.4,318409,910889440.0,1.62,-0.24,-0.06,0.39
2020-06-04,002415,24.56,24.64,24.74,24.32,314401,895994880.0,1.71,0.33,0.08,0.39
2020-06-05,002415,24.64,24.77,24.79,24.42,262113,750988240.0,1.5,0.53,0.13,0.32
2020-06-08,002415,24.77,25.37,25.73,24.76,470575,1378683968.0,3.92,2.42,0.6,0.58
2020-06-09,002415,25.54,25.25,25.59,25.06,277116,811527472.0,2.09,-0.47,-0.12,0.34
2020-06-10,002415,25.35,25.28,25.35,24.88,326778,950354928.0,1.86,0.12,0.03,0.4
2020-06-11,002415,25.1,24.73,25.21,24.53,454454,1309193184.0,2.69,-2.18,-0.55,0.56
2020-06-12,002415,24.1,24.82,25.05,23.94,451691,1285973744.0,4.49,0.36,0.09,0.56
2020-06-15,002415,24.39,24.31,24.69,24.29,330684,940704080.0,1.61,-2.05,-0.51,0.41
2020-06-16,002415,24.7,24.6,24.96,24.32,354937,1015972496.0,2.63,1.19,0.29,0.44
2020-06-17,002415,24.78,25.5,25.5,24.34,612444,1781522928.0,4.72,3.66,0.9,0.76
2020-06-18,002415,25.5,26.0,26.21,25.22,619090,1848057504.0,3.88,1.96,0.5,0.77
2020-06-19,002415,25.89,26.18,26.42,25.67,565106,1705915424.0,2.88,0.69,0.18,0.7
2020-06-22,002415,26.18,25.78,26.47,25.67,507237,1517855360.0,3.06,-1.53,-0.4,0.63
2020-06-23,002415,25.68,26.01,26.05,25.28,475302,1407464832.0,2.99,0.89,0.23,0.59
2020-06-24,002415,26.02,26.27,26.5,25.81,406526,1227929040.0,2.65,1.0,0.26,0.5
2020-06-29,002415,25.98,25.42,26.0,25.3,430522,1272691232.0,2.66,-3.24,-0.85,0.53
