日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-05-27,600893,23.79,23.28,23.99,23.24,69254,167714260.0,3.14,-2.55,-0.61,0.36
2020-05-28,600893,23.3,23.34,23.53,23.01,65873,157678184.0,2.23,0.26,0.06,0.34
2020-05-29,600893,23.19,23.34,23.53,23.1,74784,179785140.0,1.84,0.0,0.0,0.38
2020-06-01,600893,23.43,23.7,23.84,23.2,111694,271390496.0,2.74,1.54,0.36,0.57
2020-06-02,600893,23.69,23.7,24.29,23.62,104966,257960305.0,2.83,0.0,0.0,0.54
2020-06-03,600893,23.75,23.42,23.84,23.41,77901,189972717.0,1.81,-1.18,-0.28,0.4
2020-06-04,600893,23.52,23.4,23.78,23.18,68408,165542899.0,2.56,-0.09,-0.02,0.35
2020-06-05,600893,23.47,22.95,23.49,22.79,117994,280059376.0,2.99,-1.92,-0.45,0.61
2020-06-08,600893,23.02,22.84,23.22,22.76,86133,204064668.0,2.0,-0.48,-0.11,0.44
2020-06-09,600893,22.87,22.71,22.94,22.49,98314,229791924.0,1.97,-0.57,-0.13,0.5
2020-06-10,600893,22.73,22.68,22.86,22.47,76398,178593915.0,1.72,-0.13,-0.03,0.39
2020-06-11,600893,22.79,22.57,23.06,22.39,101186,236972838.0,2.95,-0.49,-0.11,0.52
2020-06-12,600893,22.19,22.59,22.64,22.14,97642,225898747.0,2.22,0.09,0.02,0.5
2020-06-15,600893,22.32,21.99,22.5,21.98,113842,260880187.0,2.3,-2.66,-0.6,0.58
2020-06-16,600893,22.17,22.31,22.36,22.11,60883,139816913.0,1.14,1.46,0.32,0.31
2020-06-17,600893,22.57,22.69,23.06,22.54,113016,264921590.0,2.33,1.7,0.38,0.58
2020-06-18,600893,22.42,22.26,22.5,22.12,87270,200583098.0,1.67,-1.9,-0.43,0.45
2020-06-19,600893,22.19,22.39,22.5,22.19,86899,200675466.0,1.39,0.58,0.13,0.45
2020-06-22,600893,22.49,22.77,22.86,22.45,88188,206581555.0,1.83,1.7,0.38,0.45
2020-06-23,600893,22.84,22.94,22.97,22.67,91044,214612769.0,1.32,0.75,0.17,0.47
2020-06-24,600893,22.89,22.64,22.89,22.51,72344,168895908.0,1.66,-1.31,-0.3,0.37
2020-06-29,600893,22.58,22.85,23.44,22.45,118875,281486880.0,4.37,0.93,0.21,0.61
2020-06-30,600893,22.97,22.77,22.97,22.59,98575,231361609.0,1.66,-0.35,-0.08,0.51
2020-07-01,600893,22.8,23.18,23.31,22.62,143424,338321808.0,3.03,1.8,0.41,0.74
2020-07-02,600893,23.06,23.49,23.55,22.93,154997,370912624.0,2.67,1.34,0.31,0.8
2020-07-03,600893,23.57,23.69,24.11,23.39,196040,478637568.0,3.07,0.85,0.2,1.01
2020-07-06,600893,24.09,25.48,25.74,24.0,381132,979221584.0,7.34,7.56,1.79,1.96
2020-07-07,600893,25.79,26.5,27.36,25.35,482493,1323363888.0,7.89,4.0,1.02,2.48
2020-07-08,600893,26.34,29.22,29.22,26.33,531878,1530045456.0,10.91,10.26,2.72,2.73
2020-07-09,600893,32.14,32.21,32.21,31.09,752961,2457418592.0,3.83,10.23,2.99,3.87
2020-07-10,600893,32.79,31.49,34.03,31.16,881379,2934426384.0,8.91,-2.24,-0.72,4.53
2020-07-13,600893,31.44,31.79,32.19,30.74,563141,1817602368.0,4.6,0.95,0.3,2.89
2020-07-14,600893,31.29,31.89,33.69,31.14,531466,1757923568.0,8.02,0.31,0.1,2.73
2020-07-15,600893,32.04,30.58,32.42,30.12,433386,1370665248.0,7.21,-4.11,-1.31,2.23
2020-07-16,600893,30.73,29.25,31.3,29.17,304590,940083904.0,6.97,-4.35,-1.33,1.56
2020-07-17,600893,29.42,30.24,31.53,29.29,425211,1316365536.0,7.66,3.38,0.99,2.18
2020-07-20,600893,31.13,33.32,33.32,30.84,597966,1977280272.0,8.2,10.19,3.08,3.07
2020-07-21,600893,33.33,31.35,33.33,31.28,508302,1647685680.0,6.15,-5.91,-1.97,2.61
2020-07-22,600893,30.84,31.77,33.27,30.76,404550,1326201760.0,8.01,1.34,0.42,2.08
2020-07-23,600893,32.43,33.84,34.88,31.72,648322,2197960832.0,9.95,6.52,2.07,3.33
2020-07-24,600893,34.37,33.64,36.55,33.03,779644,2779005488.0,10.4,-0.59,-0.2,4.0
2020-07-27,600893,33.23,34.74,36.14,32.76,582582,2047813136.0,10.05,3.27,1.1,2.99
2020-07-28,600893,34.43,36.97,37.31,33.6,625231,2282002944.0,10.68,6.42,2.23,3.21
2020-07-29,600893,36.43,37.47,37.67,35.93,497923,1860131824.0,4.71,1.35,0.5,2.56
2020-07-30,600893,37.13,36.75,39.53,36.04,560062,2136615056.0,9.31,-1.92,-0.72,2.88
2020-07-31,600893,36.67,36.3,36.81,35.19,367795,1343018816.0,4.41,-1.22,-0.45,1.89
2020-08-03,600893,36.53,39.99,39.99,36.53,623073,2474848304.0,9.53,10.17,3.69,3.2
2020-08-04,600893,40.43,39.02,40.61,38.35,500768,1987836256.0,5.65,-2.43,-0.97,2.57
2020-08-05,600893,39.0,41.98,42.98,38.8,645157,2703568080.0,10.71,7.59,2.96,3.31
2020-08-06,600893,41.44,45.98,46.24,41.3,789758,3545435904.0,11.77,9.53,4.0,4.05
2020-08-07,600893,45.43,50.64,50.64,44.63,799529,3934021872.0,13.07,10.13,4.66,4.1
2020-08-10,600893,52.43,49.55,55.76,49.44,1116409,5988792832.0,12.48,-2.15,-1.09,5.73
2020-08-11,600893,49.53,50.51,52.69,48.53,638501,3274853776.0,8.4,1.94,0.96,3.28
2020-08-12,600893,48.53,46.98,48.94,45.44,609664,2918740560.0,6.93,-6.99,-3.53,3.13
2020-08-13,600893,48.53,48.43,49.75,47.24,418924,2065943904.0,5.34,3.09,1.45,2.15
2020-08-14,600893,48.18,49.24,51.38,47.31,425538,2135554896.0,8.4,1.67,0.81,2.18
