日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-05-27,858,128.99,127.33,129.57,126.85,145963,2143082944.0,2.11,-1.28,-1.65,0.38,,,,,,,,
2020-05-28,858,127.32,127.33,129.19,125.67,148184,2166223152.0,2.76,0.0,0.0,0.39,,,,,,,,
2020-05-29,858,126.17,129.37,129.76,126.0,163217,2408655792.0,2.95,1.6,2.04,0.43,,,,,,,,
2020-06-01,858,131.23,139.76,141.35,131.23,357844,5624344576.0,7.82,8.03,10.39,0.94,,,,,,,,
2020-06-02,858,139.56,139.94,144.82,139.19,291586,4669324800.0,4.03,0.13,0.18,0.77,,,,,,,,
2020-06-03,858,142.03,139.41,142.93,137.85,252759,4004118592.0,3.63,-0.38,-0.53,0.67,,,,,,,,
2020-06-04,858,139.2,140.02,141.15,138.17,136318,2166142880.0,2.14,0.44,0.61,0.36,,,,,,,,
2020-06-05,858,140.28,141.26,141.85,138.77,159859,2547709184.0,2.2,0.89,1.24,0.42,,,,,,,,
2020-06-08,858,140.67,141.78,146.12,140.47,222551,3596734096.0,4.0,0.37,0.52,0.59,,,,,,,,
2020-06-09,858,141.75,143.78,144.17,140.18,161119,2610701056.0,2.81,1.41,2.0,0.42,,,,,,,,
2020-06-10,858,143.82,143.71,144.95,142.25,149481,2428166144.0,1.88,-0.05,-0.07,0.39,,,,,,,,
2020-06-11,858,142.97,141.24,143.91,139.12,199461,3195703168.0,3.33,-1.72,-2.47,0.53,,,,,,,,
2020-06-12,858,138.17,142.67,143.05,137.27,176476,2822869424.0,4.09,1.01,1.43,0.46,,,,,,,,
2020-06-15,858,140.17,138.17,142.05,137.67,266220,4206860400.0,3.07,-3.15,-4.5,0.7,,,,,,,,
2020-06-16,858,138.27,138.85,140.43,137.57,259847,4095546272.0,2.07,0.49,0.68,0.68,,,,,61.207445785370936,,,
2020-06-17,858,138.43,137.05,138.67,135.07,232423,3610097408.0,2.59,-1.3,-1.8,0.61,,,,,54.84334684916961,,,
2020-06-18,858,137.77,139.53,139.75,137.13,199490,3145346592.0,1.91,1.81,2.48,0.53,,,,,60.878785670109174,,,
2020-06-19,858,139.67,146.74,147.67,139.6,387028,6342808576.0,5.78,5.17,7.21,1.02,,,,,72.41996494148388,,,
2020-06-22,858,147.37,146.37,147.37,144.37,216312,3513415728.0,2.04,-0.25,-0.37,0.57,,,,,71.25818530204269,,,
2020-06-23,858,146.37,151.35,151.77,145.45,265325,4413501440.0,4.32,3.4,4.98,0.7,139.783,,,,76.68062427344607,139.783,151.64402373321963,127.92197626678033
2020-06-24,858,151.78,151.98,154.67,150.37,187986,3172425488.0,2.84,0.42,0.63,0.5,141.0155,,,,77.26497267222555,141.0155,152.5630356245391,129.4679643754609
2020-06-29,858,149.98,150.87,151.87,149.17,199936,3331811632.0,1.78,-0.73,-1.11,0.53,142.19250000000002,,,,73.75800923930055,142.19250000000002,152.66951842128762,131.71548157871243
2020-06-30,858,151.91,154.49,155.04,151.87,189898,3238678112.0,2.1,2.4,3.62,0.5,143.4485,,,,77.36610570743589,143.4485,153.4894248080045,133.4075751919955
2020-07-01,858,154.49,165.35,168.47,154.49,271818,4886748672.0,9.05,7.03,10.86,0.72,144.728,,,,84.32782572165304,144.728,158.42054629351313,131.0354537064869
2020-07-02,858,163.37,172.86,175.71,163.25,348870,6549218048.0,7.54,4.54,7.51,0.92,146.374,,,,87.24866532893347,146.374,164.54940800092254,128.19859199907745
2020-07-03,858,173.36,172.09,173.87,165.87,308159,5745184512.0,4.63,-0.45,-0.77,0.81,148.008,11.167275313773644,,,85.4894204277206,148.008,169.03723450817932,126.97876549182071
2020-07-06,858,172.08,176.19,179.37,168.93,328431,6291466752.0,6.07,2.38,4.1,0.87,149.8165,11.957880777225512,,,86.99329809703546,149.8165,173.80044068955306,125.83255931044694
2020-07-07,858,176.15,185.26,189.75,173.69,384111,7693352448.0,9.12,5.15,9.07,1.01,152.0165,13.164561630047075,,,89.56883929686235,152.0165,180.1674326843712,123.86556731562882
2020-07-08,858,184.87,186.73,189.17,182.37,292323,5907018240.0,3.67,0.79,1.47,0.77,154.264,14.077208319522128,,,89.91731479983771,154.264,185.7650827750412,122.76291722495881
2020-07-09,858,186.76,187.09,188.73,184.87,295243,5988999424.0,2.07,0.19,0.36,0.78,156.42950000000002,14.660538821879811,,,90.00537425681301,156.42950000000002,190.5921559125604,122.26684408743964
2020-07-10,858,186.37,190.37,195.17,184.17,335476,6923294720.0,5.88,1.75,3.28,0.88,158.7625,15.21214489840645,,,90.79426070057391,158.7625,195.41423768049742,122.11076231950256
2020-07-13,858,190.37,201.57,208.37,190.37,488807,10648696832.0,9.46,5.88,11.2,1.29,161.779,16.364404418210427,,,92.86516767427457,161.779,201.92923780751482,121.62876219248515
