日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-05-27,2415,23.69,23.62,23.96,23.49,276971,785352224.0,1.98,-0.25,-0.06,0.34,,,,,,,,
2020-05-28,2415,23.6,23.71,23.83,23.16,280537,791177072.0,2.84,0.38,0.09,0.35,,,,,,,,
2020-05-29,2415,23.75,23.47,23.85,23.31,397048,1091959264.0,2.28,-1.01,-0.24,0.49,,,,,,,,
2020-06-01,2415,23.6,24.7,24.81,23.6,640902,1808425152.0,5.16,5.24,1.23,0.79,,,,,,,,
2020-06-02,2415,24.6,24.62,24.97,24.21,470341,1342960976.0,3.08,-0.32,-0.08,0.58,,,,,,,,
2020-06-03,2415,24.72,24.56,24.8,24.4,318409,910889440.0,1.62,-0.24,-0.06,0.39,,,,,,,,
2020-06-04,2415,24.56,24.64,24.74,24.32,314401,895994880.0,1.71,0.33,0.08,0.39,,,,,,,,
2020-06-05,2415,24.64,24.77,24.79,24.42,262113,750988240.0,1.5,0.53,0.13,0.32,,,,,,,,
2020-06-08,2415,24.77,25.37,25.73,24.76,470575,1378683968.0,3.92,2.42,0.6,0.58,,,,,,,,
2020-06-09,2415,25.54,25.25,25.59,25.06,277116,811527472.0,2.09,-0.47,-0.12,0.34,,,,,,,,
2020-06-10,2415,25.35,25.28,25.35,24.88,326778,950354928.0,1.86,0.12,0.03,0.4,,,,,,,,
2020-06-11,2415,25.1,24.73,25.21,24.53,454454,1309193184.0,2.69,-2.18,-0.55,0.56,,,,,,,,
2020-06-12,2415,24.1,24.82,25.05,23.94,451691,1285973744.0,4.49,0.36,0.09,0.56,,,,,,,,
2020-06-15,2415,24.39,24.31,24.69,24.29,330684,940704080.0,1.61,-2.05,-0.51,0.41,,,,,,,,
2020-06-16,2415,24.7,24.6,24.96,24.32,354937,1015972496.0,2.63,1.19,0.29,0.44,,,,,55.88258433688367,,,
2020-06-17,2415,24.78,25.5,25.5,24.34,612444,1781522928.0,4.72,3.66,0.9,0.76,,,,,67.73275404216972,,,
2020-06-18,2415,25.5,26.0,26.21,25.22,619090,1848057504.0,3.88,1.96,0.5,0.77,,,,,72.20028018728634,,,
2020-06-19,2415,25.89,26.18,26.42,25.67,565106,1705915424.0,2.88,0.69,0.18,0.7,,,,,73.61648183204741,,,
2020-06-22,2415,26.18,25.78,26.47,25.67,507237,1517855360.0,3.06,-1.53,-0.4,0.63,,,,,65.61681349880512,,,
2020-06-23,2415,25.68,26.01,26.05,25.28,475302,1407464832.0,2.99,0.89,0.23,0.59,24.896,,,,67.78458349831772,24.896,26.418739636313447,23.373260363686555
2020-06-24,2415,26.02,26.27,26.5,25.81,406526,1227929040.0,2.65,1.0,0.26,0.5,25.0285,,,,70.0809690073369,25.0285,26.54522377181872,23.511776228181283
2020-06-29,2415,25.98,25.42,26.0,25.3,430522,1272691232.0,2.66,-3.24,-0.85,0.53,25.114,,,,56.02157446382444,25.114,26.511918452557232,23.71608154744277
2020-06-30,2415,25.68,26.35,26.36,25.62,507268,1526316816.0,2.91,3.66,0.93,0.63,25.258,,,,64.42975586169314,25.258,26.537149717585866,23.978850282414133
2020-07-01,2415,26.49,28.12,28.2,26.37,1134802,3591072816.0,6.94,6.72,1.77,1.4,25.429,,,,74.44420047850267,25.429,27.188316912895456,23.66968308710454
2020-07-02,2415,28.4,29.08,29.3,27.98,1002239,3297940064.0,4.69,3.41,0.96,1.24,25.651999999999997,,,,78.05325034556947,25.651999999999997,27.982524404506414,23.32147559549358
2020-07-03,2415,28.9,29.38,29.48,28.44,702007,2310649296.0,3.58,1.03,0.3,0.87,25.893,1.4310227186707856,,,79.04898403925795,25.893,28.675107833999245,23.110892166000756
2020-07-06,2415,29.62,31.36,32.05,29.61,1084252,3819919040.0,8.3,6.74,1.98,1.34,26.229000000000003,1.6797411169817913,,,84.15777194533285,26.229000000000003,29.827910390659923,22.630089609340082
2020-07-07,2415,32.0,31.4,32.98,31.0,1157908,4161313328.0,6.31,0.13,0.04,1.43,26.5605,1.8586544932427564,,,84.24137278737904,26.5605,30.7359878756859,22.385012124314102
2020-07-08,2415,31.39,31.45,31.72,30.86,777203,2731735712.0,2.74,0.16,0.05,0.96,26.864500000000003,1.981636147085478,,,84.35252887339539,26.864500000000003,31.508099788956834,22.220900211043173
2020-07-09,2415,31.68,34.36,34.76,31.36,1307431,4882801152.0,10.81,9.25,2.91,1.62,27.32,2.2875432987048647,,,89.14953966854753,27.32,32.92787660349262,21.712123396507383
2020-07-10,2415,33.6,32.96,33.88,32.75,865508,3231395536.0,3.29,-4.07,-1.4,1.07,27.704,2.389464362808887,,,76.93031189952632,27.704,33.73625132102434,21.67174867897566
2020-07-13,2415,32.9,33.63,34.0,32.5,900980,3366992560.0,4.55,2.03,0.67,1.11,28.149,2.4955339786988375,,,78.4524498228636,28.149,34.54044083912226,21.75755916087774
2020-07-14,2415,33.44,32.55,33.55,32.0,831015,3049701120.0,4.61,-3.21,-1.08,1.03,28.535500000000003,2.464043974296956,,,70.39016889753584,28.535500000000003,35.00931641692131,22.061683583078693
2020-07-15,2415,32.61,32.03,33.13,32.0,740301,2696476816.0,3.47,-1.6,-0.52,0.91,28.9215,2.3698105637336937,2.1063834060248947,0.263427157708799,66.82909280099074,28.9215,35.26071532999155,22.582284670008455
2020-07-16,2415,32.0,30.79,32.67,30.0,974379,3414969536.0,8.34,-3.87,-1.24,1.2,29.231,2.1700572014549735,2.1191181651109106,0.05093903634406294,59.145035909653764,29.231,35.29447062333115,23.167529376668853
2020-07-17,2415,30.79,31.11,31.46,30.5,609828,2130215664.0,3.12,1.04,0.32,0.75,29.5115,2.0143523483710197,2.0981650017629323,-0.08381265339191257,60.41012782977416,29.5115,35.374350074835604,23.6486499251644
2020-07-20,2415,31.4,31.03,31.43,30.36,506928,1767051344.0,3.44,-0.26,-0.08,0.63,29.762999999999998,1.8630240179106963,2.051136804992485,-0.1881127870817889,59.910661683552014,29.762999999999998,35.43001367564962,24.095986324350378
2020-07-21,2415,31.25,30.69,31.5,30.29,659800,2293715888.0,3.9,-1.1,-0.34,0.82,29.9885,1.696108385579553,1.9801311211098989,-0.28402273553034596,57.726207492027335,29.9885,35.421356615078274,24.555643384921723
2020-07-22,2415,31.68,32.07,32.7,31.2,901255,3256950320.0,4.89,4.5,1.38,1.11,30.302999999999997,1.6560906293590882,1.9153230227597369,-0.25923239340064863,63.53746981459894,30.302999999999997,35.44542394207243,25.160576057927564
2020-07-23,2415,31.4,31.4,31.89,30.45,776829,2721527872.0,4.49,-2.09,-0.67,0.96,30.572499999999998,1.552417565319022,1.842741931271594,-0.29032436595257205,59.27692319697013,30.572499999999998,35.33786619789075,25.807133802109245
2020-07-24,2415,30.6,29.63,31.13,29.48,789560,2692092080.0,5.25,-5.64,-1.77,0.98,30.740499999999997,1.3123042807825698,1.7366544011737894,-0.42435012039121967,49.78017411364534,30.740499999999997,35.10755610222719,26.373443897772805
