日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-05-27,300750,70.48,71.34,73.28,70.45,181049,2763780112.0,4.01,1.16,0.82,1.51,,,,,,,,
2020-05-28,300750,70.5,69.3,71.0,66.89,174247,2553996976.0,5.76,-2.86,-2.04,1.45,,,,,,,,
2020-05-29,300750,68.84,68.02,69.3,67.45,141428,2060033600.0,2.67,-1.85,-1.28,1.18,,,,,,,,
2020-06-01,300750,69.1,71.03,72.19,68.48,151766,2284037536.0,5.45,4.43,3.01,1.26,,,,,,,,
2020-06-02,300750,72.73,70.2,73.22,68.83,137030,2055312032.0,6.18,-1.17,-0.83,1.14,,,,,,,,
2020-06-03,300750,70.5,69.67,71.13,69.29,113635,1693882304.0,2.62,-0.75,-0.53,0.94,,,,,,,,
2020-06-04,300750,70.52,70.63,72.92,69.85,137574,2082248432.0,4.41,1.38,0.96,1.14,,,,,,,,
2020-06-05,300750,70.38,71.29,71.38,69.1,98627,1475831344.0,3.23,0.93,0.66,0.82,,,,,,,,
2020-06-08,300750,72.7,71.4,73.15,70.88,105604,1605995424.0,3.18,0.15,0.11,0.88,,,,,,,,
2020-06-09,300750,73.13,72.83,73.94,72.35,150699,2325730464.0,2.23,2.0,1.43,1.25,,,,,,,,
2020-06-10,300750,76.13,74.34,76.13,72.57,198210,3097487312.0,4.89,2.07,1.51,1.65,,,,,,,,
2020-06-11,300750,76.18,78.39,81.78,75.14,368177,6056179456.0,8.93,5.45,4.05,3.06,,,,,,,,
2020-06-12,300750,76.28,75.79,77.57,75.56,252446,4038133984.0,2.56,-3.32,-2.6,2.1,,,,,,,,
2020-06-15,300750,74.09,74.9,76.88,73.69,159452,2526289040.0,4.21,-1.17,-0.89,1.33,,,,,,,,
2020-06-16,300750,76.74,76.18,78.0,75.08,131297,2107390560.0,3.9,1.71,1.28,1.09,,,,,63.99495816373676,,,
2020-06-17,300750,75.65,74.96,76.46,73.97,125291,1973464256.0,3.27,-1.6,-1.22,1.04,,,,,58.50415621811697,,,
2020-06-18,300750,74.96,75.6,75.94,73.96,96562,1526258400.0,2.64,0.85,0.64,0.8,,,,,60.42257063110582,,,
2020-06-19,300750,76.17,79.46,81.07,75.71,250193,4137793344.0,7.09,5.11,3.86,2.08,,,,,69.5624349610455,,,
2020-06-22,300750,79.38,78.96,82.46,78.68,190412,3191062032.0,4.76,-0.63,-0.5,1.58,,,,,67.39141350616103,,,
2020-06-23,300750,79.52,81.12,81.25,78.14,159475,2662217152.0,3.94,2.74,2.16,1.33,73.7705,,,,71.52578526832309,73.7705,81.11155843867216,66.42944156132783
2020-06-24,300750,82.03,82.57,83.73,81.35,146604,2515400576.0,2.93,1.79,1.45,1.22,74.33200000000001,,,,73.91657360074004,74.33200000000001,82.51336810075185,66.15063189924817
2020-06-29,300750,82.02,82.32,83.13,81.19,116040,1980641408.0,2.35,-0.3,-0.25,0.95,74.98299999999999,,,,72.78190385938426,74.98299999999999,83.52331638758187,66.44268361241811
2020-06-30,300750,83.4,84.16,87.0,83.4,162514,2849476592.0,4.37,2.24,1.84,1.33,75.78999999999999,,,,75.73435054312534,75.78999999999999,84.59220426938614,66.98779573061384
2020-07-01,300750,86.46,81.4,88.35,80.56,286575,4991087872.0,9.26,-3.28,-2.76,2.34,76.3085,,,,64.44233359857118,76.3085,85.14967249011688,67.4673275098831
2020-07-02,300750,82.85,80.18,82.95,78.69,270480,4535545600.0,5.23,-1.5,-1.22,2.21,76.80749999999999,,,,60.171571298979835,76.80749999999999,85.3342388256003,68.28076117439969
2020-07-03,300750,81.74,80.4,82.15,80.09,240264,4054240064.0,2.57,0.27,0.22,1.96,77.34400000000001,3.955041718867747,,,60.67765354307221,77.34400000000001,85.34064779767121,69.3473522023288
2020-07-06,300750,80.74,86.07,87.29,80.4,307153,5324573184.0,8.57,7.05,5.67,2.51,78.116,4.179210185524511,,,70.92990831831581,78.116,86.34858744259662,69.88341255740337
2020-07-07,300750,91.74,95.95,95.95,91.46,253604,4915716608.0,5.22,11.48,9.88,2.07,79.349,5.09536257181658,,,80.48015956527051,79.349,90.11867018993615,68.57932981006385
2020-07-08,300750,97.29,97.05,97.75,92.84,288890,5645451264.0,5.12,1.15,1.1,2.36,80.63149999999999,5.842828258264021,,,81.21991206445418,80.63149999999999,93.25823081205104,68.00476918794894
2020-07-09,300750,96.74,101.19,102.17,96.18,279036,5622121472.0,6.17,4.27,4.14,2.28,82.0495,6.692120995414996,,,83.7205072258606,82.0495,97.00774652156794,67.09125347843205
2020-07-10,300750,100.06,100.57,102.38,98.74,168293,3436550912.0,3.6,-0.61,-0.62,1.37,83.361,7.2317991114687175,,,81.9604526088281,83.361,99.90136021373173,66.82063978626827
2020-07-13,300750,104.85,111.8,111.9,104.85,303269,6609862144.0,7.01,11.17,11.23,2.47,85.0315,8.468050637021136,,,87.20670738399141,85.0315,105.5067145532104,64.55628544678959
2020-07-14,300750,106.18,107.27,109.9,103.33,333296,7129824256.0,5.88,-4.05,-4.53,2.72,86.60549999999999,8.978754246647426,,,77.42513164323137,86.60549999999999,108.76748589928256,64.44351410071742
2020-07-15,300750,108.96,102.31,109.83,99.58,274351,5785551104.0,9.56,-4.62,-4.96,2.24,87.976,8.88088665593699,6.591561597884681,2.2893250580523095,68.38107976666632,87.976,110.46072939574768,65.49127060425232
2020-07-16,300750,102.85,96.61,105.56,96.4,272550,5596500736.0,8.95,-5.57,-5.7,2.22,88.9975,8.248302228389676,6.92290972398568,1.3253925044039958,59.744237684274495,88.9975,111.09884102266194,66.89615897733806
2020-07-17,300750,96.74,96.02,99.06,91.78,303786,5903627264.0,7.54,-0.61,-0.59,2.48,90.0505,7.611624375144444,7.060652654217433,0.5509717209270111,58.9147594907583,90.0505,111.36919740392221,68.73180259607778
2020-07-20,300750,100.68,101.35,104.58,97.9,289999,5919664128.0,6.96,5.55,5.33,2.37,91.338,7.451245722315349,7.138771267837017,0.3124744544783322,63.803881062591046,91.338,112.1136728892231,70.56232711077689
2020-07-21,300750,103.95,102.29,103.95,100.07,186566,3855792320.0,3.83,0.93,0.94,1.52,92.4795,7.315664205457026,7.174149855361019,0.14151435009600632,64.60387383833688,92.4795,113.02672314571971,71.93227685428029
2020-07-22,300750,101.18,102.79,104.62,100.09,191658,3992449600.0,4.43,0.49,0.5,1.56,93.671,7.1659560175428965,7.172511087797395,-0.006555070254498752,65.0464038778002,93.671,113.70136684636604,73.64063315363397
2020-07-23,300750,102.29,105.9,107.02,101.74,255900,5395410944.0,5.14,3.03,3.11,2.09,94.91,7.215091129376063,7.181027096113128,0.0340640332629345,67.74741641220113,94.91,114.74631215725341,75.07368784274658
2020-07-24,300750,103.4,97.67,103.9,96.1,343983,6943402752.0,7.37,-7.77,-8.23,2.81,95.66499999999999,6.514839822357885,7.04778964136208,-0.5329498190041946,55.52060865406015,95.66499999999999,114.69832813776927,76.63167186223072
2020-07-27,300750,97.29,93.57,98.95,92.84,251556,4870628864.0,6.26,-4.2,-4.1,2.05,96.22749999999999,5.564901165037568,6.751211946097178,-1.1863107810596096,50.61937065135469,96.22749999999999,114.29022280139401,78.16477719860598
2020-07-28,300750,96.21,97.03,98.68,95.91,201490,3988264848.0,2.96,3.7,3.46,1.64,96.87100000000001,5.033240950156539,6.407617746909051,-1.3743767967525118,54.28686540688672,96.87100000000001,114.06429741498121,79.6777025850188
2020-07-29,300750,97.03,100.73,101.18,95.78,189986,3844683440.0,5.57,3.81,3.7,1.55,97.8375,4.8544958706895756,6.096993371665156,-1.2424975009755803,57.8886852789119,97.8375,113.55312900427467,82.12187099572535
2020-07-30,300750,101.18,101.38,102.28,99.74,143531,2944644016.0,2.52,0.65,0.65,1.17,98.89750000000001,4.710983391099333,5.819791375551992,-1.1088079844526586,58.50720000784321,98.89750000000001,112.41189954270996,85.38310045729006
2020-07-31,300750,101.74,105.17,106.9,101.46,207050,4378422272.0,5.37,3.74,3.79,1.69,100.136,4.847194600638616,5.625272020569317,-0.7780774199307006,62.01085475942182,100.136,110.90358171550132,89.36841828449867
2020-08-03,300750,106.12,107.07,107.18,103.99,151061,3216865104.0,3.03,1.81,1.9,1.23,101.186,5.050241051409984,5.5102658267374505,-0.4600247753274669,63.66718409755392,101.186,110.21796634183266,92.15403365816735
2020-08-04,300750,106.35,104.34,111.17,104.14,199581,4309494784.0,6.57,-2.55,-2.73,1.63,101.60549999999999,4.93399264615779,5.395011190621519,-0.4610185444637285,59.643325141186374,101.60549999999999,110.40202766721039,92.8089723327896
2020-08-05,300750,104.37,104.15,105.52,102.04,127301,2664523680.0,3.34,-0.18,-0.19,1.04,101.9605,4.771530304194883,5.270315013336192,-0.4987847091413089,59.36212715925663,101.9605,110.56393995155413,93.35706004844586
2020-08-06,300750,107.78,104.79,108.34,102.85,145657,3082282256.0,5.27,0.61,0.64,1.19,102.1405,4.640922710871294,5.144436552843213,-0.5035138419719187,60.045452652060625,102.1405,110.82220829963768,93.45879170036233
2020-08-07,300750,103.4,100.79,106.35,99.58,180552,3733669856.0,6.46,-3.82,-4.0,1.47,102.1515,4.166618497174781,4.948872941709527,-0.7822544445347459,53.940575455802865,102.1515,110.82577524350005,93.47722475649995
2020-08-10,300750,100.74,98.78,101.35,97.34,130787,2629646480.0,3.98,-1.99,-2.01,1.07,101.5005,3.587187919524524,4.676535937272527,-1.0893480177480024,51.12755688545525,101.5005,109.0637360137707,93.93726398622931
2020-08-11,300750,98.82,97.53,100.96,97.37,122332,2468198208.0,3.63,-1.27,-1.25,1.0,101.0135,2.9926233596045364,4.339753421738929,-1.3471300621343927,49.40211166509799,101.0135,108.27637897462142,93.75062102537856
2020-08-12,300750,98.35,96.03,98.55,91.85,252727,4855191808.0,6.87,-1.54,-1.5,2.06,100.6995,2.3730343356261443,3.9464096045163726,-1.5733752688902283,47.337595631245726,100.6995,108.24840051596908,93.15059948403092
2020-08-13,300750,98.85,96.18,99.5,95.33,130612,2581164112.0,4.34,0.16,0.15,1.07,100.678,1.8725240252655624,3.5316324886662107,-1.6591084634006483,47.573539106364755,100.678,108.27565911317414,93.08034088682585
2020-08-14,300750,97.13,98.61,98.65,96.18,119700,2373752128.0,2.57,2.53,2.43,0.98,100.8075,1.6528931664330315,3.155884624219575,-1.5029914577865435,51.37431869790146,100.8075,108.16774965609171,93.4472503439083
2020-08-17,300750,98.4,96.53,98.61,95.18,197074,3866925440.0,3.48,-2.11,-2.08,1.61,100.5665,1.2960553919467515,2.7839187777650105,-1.487863385818259,48.15610248057255,100.5665,108.15211078621876,92.98088921378125
2020-08-18,300750,98.18,98.0,101.18,96.12,221224,4415130112.0,5.24,1.52,1.47,1.81,100.352,1.1189767322558453,2.4509303686631774,-1.331953636407332,50.51537500533852,100.352,107.97307236548757,92.73092763451244
2020-08-19,300750,97.18,92.95,97.18,92.85,187147,3610137184.0,4.42,-5.15,-5.05,1.53,99.86,0.5646390161760024,2.0736720981657424,-1.50903308198974,43.23613473109461,99.86,108.03811958826712,91.68188041173288
2020-08-20,300750,91.18,91.97,93.4,90.07,130201,2444311248.0,3.58,-1.05,-0.98,1.06,99.16350000000001,0.045717568920565554,1.6680811923167072,-1.6223636233961416,41.972146488028706,99.16350000000001,107.53579305507151,90.79120694492852
2020-08-21,300750,93.6,94.09,95.04,92.85,146553,2815939728.0,2.38,2.31,2.12,1.2,98.9845,-0.19224900734990058,1.2960151523833856,-1.4882641597332862,45.67223792874665,98.9845,107.62562834067394,90.34337165932605
2020-08-24,300750,95.18,99.52,102.85,94.09,258074,5156659876.0,9.31,5.77,5.43,2.11,99.28200000000001,0.05666320790658119,1.0481447634880248,-0.9914815555814436,53.79833856157303,99.28200000000001,107.55902023677595,91.00497976322407
2020-08-25,300750,99.52,98.36,101.74,97.83,145512,2936067512.0,3.93,-1.17,-1.16,1.19,99.34850000000002,0.15849855367270038,0.8702155215249598,-0.7117169678522595,52.008644652632505,99.34850000000002,107.57328516436743,91.1237148356326
2020-08-26,300750,97.85,95.29,98.39,94.48,152414,2985932064.0,3.98,-3.12,-3.07,1.24,99.07650000000001,-0.008422455241856142,0.6944879261715967,-0.7029103814134529,47.50452474635143,99.07650000000001,107.45884638988383,90.69415361011619
2020-08-27,300750,99.79,101.15,103.13,97.85,283995,5800127999.0,5.54,6.15,5.86,2.32,99.065,0.32835934638055164,0.6212622102133878,-0.29290286383283615,55.437682645739166,99.065,107.43529629105197,90.69470370894803
2020-08-28,300750,101.92,103.02,103.68,100.45,169690,3511321002.0,3.19,1.85,1.87,1.38,98.9575,0.7376515345874992,0.6445400750882101,0.09311145949928912,57.63773046058865,98.9575,107.06242658819303,90.85257341180696
2020-08-31,300750,103.77,101.93,104.38,101.19,135171,2798255294.0,3.1,-1.06,-1.09,1.1,98.7005,0.9629642001674483,0.7082249001040577,0.25473930006339063,55.90517967069798,98.7005,106.05102780417832,91.34997219582169
2020-09-01,300750,102.02,106.32,106.74,101.19,197211,4176694801.0,5.44,4.31,4.39,1.61,98.7995,1.4787166965600846,0.8623232593952632,0.6163934371648214,60.99105814617398,98.7995,106.49635773546572,91.10264226453427
2020-09-02,300750,105.83,104.69,106.25,102.85,146097,3084373049.0,3.2,-1.53,-1.63,1.19,98.8265,1.7359163253969427,1.0370418725955992,0.6988744528013435,58.302180938620616,98.8265,106.60163543290395,91.05136456709604
2020-09-03,300750,103.96,103.9,104.52,101.68,124541,2600653784.0,2.71,-0.75,-0.79,1.02,98.78200000000001,1.8546235408628746,1.2005582062490543,0.6540653346138203,56.990785659014044,98.78200000000001,106.42923636354982,91.1347636364502
2020-09-04,300750,99.64,100.77,101.55,98.73,147761,2994139296.0,2.71,-3.01,-3.13,1.21,98.781,1.6768058488106874,1.295807734761381,0.3809981140493064,52.00015549632017,98.781,106.42719094713169,91.13480905286832
