日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-05-27,600893,23.79,23.28,23.99,23.24,69254,167714260.0,3.14,-2.55,-0.61,0.36,,,,,,,,
2020-05-28,600893,23.3,23.34,23.53,23.01,65873,157678184.0,2.23,0.26,0.06,0.34,,,,,,,,
2020-05-29,600893,23.19,23.34,23.53,23.1,74784,179785140.0,1.84,0.0,0.0,0.38,,,,,,,,
2020-06-01,600893,23.43,23.7,23.84,23.2,111694,271390496.0,2.74,1.54,0.36,0.57,,,,,,,,
2020-06-02,600893,23.69,23.7,24.29,23.62,104966,257960305.0,2.83,0.0,0.0,0.54,,,,,,,,
2020-06-03,600893,23.75,23.42,23.84,23.41,77901,189972717.0,1.81,-1.18,-0.28,0.4,,,,,,,,
2020-06-04,600893,23.52,23.4,23.78,23.18,68408,165542899.0,2.56,-0.09,-0.02,0.35,,,,,,,,
2020-06-05,600893,23.47,22.95,23.49,22.79,117994,280059376.0,2.99,-1.92,-0.45,0.61,,,,,,,,
2020-06-08,600893,23.02,22.84,23.22,22.76,86133,204064668.0,2.0,-0.48,-0.11,0.44,,,,,,,,
2020-06-09,600893,22.87,22.71,22.94,22.49,98314,229791924.0,1.97,-0.57,-0.13,0.5,,,,,,,,
2020-06-10,600893,22.73,22.68,22.86,22.47,76398,178593915.0,1.72,-0.13,-0.03,0.39,,,,,,,,
2020-06-11,600893,22.79,22.57,23.06,22.39,101186,236972838.0,2.95,-0.49,-0.11,0.52,,,,,,,,
2020-06-12,600893,22.19,22.59,22.64,22.14,97642,225898747.0,2.22,0.09,0.02,0.5,,,,,,,,
2020-06-15,600893,22.32,21.99,22.5,21.98,113842,260880187.0,2.3,-2.66,-0.6,0.58,,,,,,,,
2020-06-16,600893,22.17,22.31,22.36,22.11,60883,139816913.0,1.14,1.46,0.32,0.31,,,,,29.350095182237094,,,
2020-06-17,600893,22.57,22.69,23.06,22.54,113016,264921590.0,2.33,1.7,0.38,0.58,,,,,42.61796186788704,,,
2020-06-18,600893,22.42,22.26,22.5,22.12,87270,200583098.0,1.67,-1.9,-0.43,0.45,,,,,34.68105386472843,,,
2020-06-19,600893,22.19,22.39,22.5,22.19,86899,200675466.0,1.39,0.58,0.13,0.45,,,,,38.41520385401644,,,
2020-06-22,600893,22.49,22.77,22.86,22.45,88188,206581555.0,1.83,1.7,0.38,0.45,,,,,47.80775364630744,,,
2020-06-23,600893,22.84,22.94,22.97,22.67,91044,214612769.0,1.32,0.75,0.17,0.47,22.8935,,,,51.380257150968966,22.8935,23.84589225112345,21.94110774887655
2020-06-24,600893,22.89,22.64,22.89,22.51,72344,168895908.0,1.66,-1.31,-0.3,0.37,22.8615,,,,45.46587666309718,22.8615,23.802739076961846,21.920260923038153
2020-06-29,600893,22.58,22.85,23.44,22.45,118875,281486880.0,4.37,0.93,0.21,0.61,22.837,,,,49.82023654484777,22.837,23.752294488129362,21.921705511870638
2020-06-30,600893,22.97,22.77,22.97,22.59,98575,231361609.0,1.66,-0.35,-0.08,0.51,22.808500000000002,,,,48.24001212827355,22.808500000000002,23.69439559204231,21.922604407957696
2020-07-01,600893,22.8,23.18,23.31,22.62,143424,338321808.0,3.03,1.8,0.41,0.74,22.7825,,,,55.951265477607166,22.7825,23.58919387006471,21.975806129935286
2020-07-02,600893,23.06,23.49,23.55,22.93,154997,370912624.0,2.67,1.34,0.31,0.8,22.772,,,,60.71668809500523,22.772,23.53493118955774,22.00906881044226
2020-07-03,600893,23.57,23.69,24.11,23.39,196040,478637568.0,3.07,0.85,0.2,1.01,22.7855,0.0877205648764594,,,63.463023505686245,22.7855,23.60152634761384,21.969473652386156
2020-07-06,600893,24.09,25.48,25.74,24.0,381132,979221584.0,7.34,7.56,1.79,1.96,22.8895,0.27669276813237076,,,78.1716902455758,22.8895,24.303423265244614,21.47557673475539
2020-07-07,600893,25.79,26.5,27.36,25.35,482493,1323363888.0,7.89,4.0,1.02,2.48,23.067,0.5029622405621303,,,82.49594439425314,23.067,25.183498051026742,20.95050194897326
2020-07-08,600893,26.34,29.22,29.22,26.33,531878,1530045456.0,10.91,10.26,2.72,2.73,23.386,0.8914871863055396,,,88.8431830312364,23.386,26.79687906557826,19.97512093442174
2020-07-09,600893,32.14,32.21,32.21,31.09,752961,2457418592.0,3.83,10.23,2.99,3.87,23.861,1.424246192955728,,,92.19405911686852,23.861,28.98084335697881,18.741156643021192
2020-07-10,600893,32.79,31.49,34.03,31.16,881379,2934426384.0,8.91,-2.24,-0.72,4.53,24.301499999999997,1.767983349813214,,,85.53222490689936,24.301499999999997,30.36763641455581,18.235363585444183
2020-07-13,600893,31.44,31.79,32.19,30.74,563141,1817602368.0,4.6,0.95,0.3,2.89,24.7625,2.041076753621063,,,85.98659323787558,24.7625,31.58626985250822,17.93873014749178
2020-07-14,600893,31.29,31.89,33.69,31.14,531466,1757923568.0,8.02,0.31,0.1,2.73,25.2275,2.239755896164297,,,86.14281614412582,25.2275,32.63798142835539,17.817018571644613
2020-07-15,600893,32.04,30.58,32.42,30.12,433386,1370665248.0,7.21,-4.11,-1.31,2.23,25.657,2.265390484810254,1.277479493026784,0.9879109917834701,74.43597221274943,25.657,33.26034952504487,18.053650474955127
2020-07-16,600893,30.73,29.25,31.3,29.17,304590,940083904.0,6.97,-4.35,-1.33,1.56,26.004,2.153561282355547,1.4526958508925367,0.7008654314630101,64.8064638085031,26.004,33.59812509773181,18.409874902268196
2020-07-17,600893,29.42,30.24,31.53,29.29,425211,1316365536.0,7.66,3.38,0.99,2.18,26.3815,2.1203781604055045,1.5862323127951303,0.5341458476103742,68.11320605417195,26.3815,34.029567141441696,18.733432858558306
