日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-05-27,601318,60.36,60.29,61.22,60.16,287152,2036204896.0,1.76,0.23,0.14,0.27,,,,,,,,
2020-05-28,601318,60.32,61.15,61.63,60.32,414260,2961421776.0,2.17,1.43,0.86,0.38,,,,,,,,
2020-05-29,601318,60.54,60.35,60.94,60.12,268441,1901686640.0,1.34,-1.31,-0.8,0.25,,,,,,,,
2020-06-01,601318,61.04,61.8,61.87,60.87,457673,3296218944.0,1.66,2.4,1.45,0.42,,,,,,,,
2020-06-02,601318,61.66,63.92,64.17,61.65,810523,5968449024.0,4.08,3.43,2.12,0.75,,,,,,,,
2020-06-03,601318,64.64,64.65,66.33,64.64,991488,7515763712.0,2.64,1.14,0.73,0.92,,,,,,,,
2020-06-04,601318,65.06,64.78,65.35,64.22,453880,3410379328.0,1.75,0.2,0.13,0.42,,,,,,,,
2020-06-05,601318,64.78,64.94,65.08,64.04,349808,2618665520.0,1.61,0.25,0.16,0.32,,,,,,,,
2020-06-08,601318,65.34,66.36,66.86,65.34,766974,5884342016.0,2.34,2.19,1.42,0.71,,,,,,,,
2020-06-09,601318,66.37,66.14,66.82,65.96,388517,2977854240.0,1.3,-0.33,-0.22,0.36,,,,,,,,
2020-06-10,601318,66.22,65.22,66.34,65.11,345453,2619976608.0,1.86,-1.39,-0.92,0.32,,,,,,,,
2020-06-11,601318,64.85,63.86,65.11,63.44,586113,4367908864.0,2.56,-2.09,-1.36,0.54,,,,,,,,
2020-06-12,601318,62.74,63.79,63.79,62.61,488259,3587207264.0,1.85,-0.11,-0.07,0.45,,,,,,,,
2020-06-15,601318,63.32,62.18,63.42,62.09,551304,4024617712.0,2.08,-2.52,-1.61,0.51,,,,,,,,
2020-06-16,601318,63.24,63.1,63.32,62.78,341905,2510329760.0,0.87,1.48,0.92,0.32,,,,,53.32953774572397,,,
2020-06-17,601318,62.84,62.65,63.02,62.24,325896,2375228576.0,1.24,-0.71,-0.45,0.3,,,,,50.34031265093509,,,
2020-06-18,601318,62.49,63.04,63.41,62.02,418632,3062399440.0,2.22,0.62,0.39,0.39,,,,,52.809111634210154,,,
2020-06-19,601318,63.08,63.06,63.73,62.64,635990,4672211712.0,1.73,0.03,0.02,0.59,,,,,52.93832255572147,,,
2020-06-22,601318,62.64,62.41,63.56,62.25,671831,4908549120.0,2.08,-1.03,-0.65,0.62,,,,,48.30880816686448,,,
2020-06-23,601318,62.14,61.6,62.24,61.31,779636,5610392832.0,1.49,-1.3,-0.81,0.72,63.2645,,,,43.234759215724104,63.2645,66.69641768549306,59.832582314506936
2020-06-24,601318,61.89,61.9,62.49,61.65,605136,4380602880.0,1.36,0.49,0.3,0.56,63.345000000000006,,,,45.517246148442666,63.345000000000006,66.5629154743405,60.127084525659505
2020-06-29,601318,61.71,60.65,61.9,60.44,714838,5089512960.0,2.36,-2.02,-1.25,0.66,63.31999999999999,,,,38.56001474686295,63.31999999999999,66.61264027795325,60.02735972204675
2020-06-30,601318,61.0,61.04,61.42,60.64,451503,3222061872.0,1.29,0.64,0.39,0.42,63.354499999999994,,,,41.56125411328584,63.354499999999994,66.53447154075316,60.17452845924683
2020-07-01,601318,61.23,63.14,63.14,60.84,967560,7027222016.0,3.77,3.44,2.1,0.89,63.4215,,,,54.460797172932054,63.4215,66.52314005003805,60.31985994996195
2020-07-02,601318,62.92,65.64,65.65,62.64,1474467,11001772288.0,4.77,3.96,2.5,1.36,63.50750000000001,,,,64.50555059758585,63.50750000000001,66.7517618574955,60.26323814250452
2020-07-03,601318,65.79,67.6,68.13,65.78,1703820,13197963008.0,3.58,2.99,1.96,1.57,63.654999999999994,0.29182274426968036,,,70.07799012684332,63.654999999999994,67.33288798089337,59.977112019106606
2020-07-06,601318,68.76,73.76,74.52,68.76,2806695,23106295808.0,8.52,9.11,6.16,2.59,64.104,1.0829996966086384,,,80.46058333855484,64.104,69.83893992993825,58.36906007006176
2020-07-07,601318,76.64,72.86,77.24,72.84,2222041,18920029696.0,5.97,-1.22,-0.9,2.05,64.5,1.6187309305310862,,,76.29516546036986,64.5,71.38883154097994,57.611168459020064
2020-07-08,601318,73.75,75.33,76.64,73.49,1696390,14486522624.0,4.32,3.39,2.47,1.57,64.9485,2.217053339666549,,,79.4408783590893,64.9485,73.28020156690697,56.616798433093024
2020-07-09,601318,75.94,75.56,76.44,74.54,1424597,12240651520.0,2.52,0.31,0.23,1.32,65.4195,2.6789064711582427,,,79.7108766428809,65.4195,74.94665797076966,55.89234202923033
2020-07-10,601318,74.65,71.98,75.01,71.75,1466620,12251530240.0,4.31,-4.74,-3.58,1.35,65.75750000000001,2.72464432094624,,,65.32935899678783,65.75750000000001,75.70284237721359,55.81215762278644
2020-07-13,601318,71.55,72.0,73.3,71.15,1179516,9725535232.0,2.99,0.03,0.02,1.09,66.1645,2.731024182507255,,,65.36695221430459,66.1645,76.42709708845672,55.901902911543296
2020-07-14,601318,72.01,70.94,72.87,70.25,988558,8093687552.0,3.64,-1.47,-1.06,0.91,66.522,2.620341462277196,,,61.557280077340295,66.522,76.92599461745344,56.11800538254656
2020-07-15,601318,71.79,69.86,72.03,69.76,922768,7478183680.0,3.2,-1.52,-1.08,0.85,66.90599999999999,2.4176089440083217,2.042570232441468,0.37503871156685387,57.8573743384739,66.90599999999999,77.20702596831985,56.60497403168013
2020-07-16,601318,70.94,67.86,71.61,67.74,1318170,10546372352.0,5.54,-2.86,-2.0,1.22,67.144,2.0716776668004115,2.0483917193132566,0.023285947487154957,51.6644729513467,67.144,77.30123663207668,56.98676336792334
2020-07-17,601318,68.64,67.66,69.03,66.95,875035,6849600256.0,3.07,-0.29,-0.2,0.81,67.3945,1.7610856101070453,1.9909304974720143,-0.229844887364969,51.07571795292822,67.3945,77.34098173979122,57.44801826020877
2020-07-20,601318,68.69,72.44,72.46,68.69,1377548,11212026880.0,5.57,7.06,4.78,1.27,67.86449999999999,1.8789854447762622,1.968541486932864,-0.08955604215660173,62.17123117282428,67.86449999999999,77.83184563462109,57.897154365378896
2020-07-21,601318,72.59,70.4,72.84,70.01,904775,7340189184.0,3.91,-2.82,-2.04,0.84,68.23150000000001,1.7872091278387359,1.9322750151140384,-0.14506588727530256,56.302581366784786,68.23150000000001,78.00280139745983,58.46019860254019
2020-07-22,601318,69.85,69.57,71.49,69.08,877513,7056923392.0,3.42,-1.18,-0.83,0.81,68.5895,1.628726724222858,1.8715653569358026,-0.2428386327129446,54.06639127582009,68.5895,77.99938942549275,59.17961057450725
2020-07-23,601318,68.64,68.64,69.52,67.66,782100,6158187264.0,2.67,-1.34,-0.93,0.72,68.94149999999999,1.4118105763845108,1.7796144008255443,-0.36780382444103354,51.59371777266895,68.94149999999999,77.78911498936296,60.09388501063702
2020-07-24,601318,68.52,66.64,68.53,66.02,1072693,8306516224.0,3.66,-2.91,-2.0,0.99,69.1785,1.0662288585466655,1.6369372923697685,-0.570708433823103,46.65237603770799,69.1785,77.49706063270565,60.859939367294345
2020-07-27,601318,66.92,66.07,67.43,65.34,734799,5615185664.0,3.14,-0.86,-0.57,0.68,69.4495,0.737853109715914,1.4571204558389976,-0.7192673461230836,45.32017672745796,69.4495,76.95217812184426,61.94682187815575
2020-07-28,601318,66.63,66.02,66.94,65.59,639859,4893527552.0,2.04,-0.08,-0.05,0.59,69.6985,0.46818147619077877,1.259332659909354,-0.7911511837185752,45.198250567952606,69.6985,76.35060726010941,63.04639273989058
2020-07-29,601318,65.64,66.94,67.64,65.39,702865,5415279360.0,3.41,1.39,0.92,0.65,69.8885,0.32495519378572624,1.0724571666846285,-0.7475019728989023,47.971864854760646,69.8885,75.97333450884248,63.80366549115751
2020-07-30,601318,67.03,65.67,67.07,65.66,646243,4940867584.0,2.11,-1.9,-1.27,0.6,69.89,0.1077271355619871,0.8795111604601002,-0.7717840248981132,44.61500531840169,69.89,75.97065785914653,63.80934214085348
2020-07-31,601318,65.64,65.54,66.89,64.84,748520,5701005312.0,3.12,-0.2,-0.13,0.69,69.787,-0.07406381758266889,0.6887961648515464,-0.7628599824342153,44.27348652594765,69.787,76.08522546436696,63.488774535633056
2020-08-03,601318,65.99,66.08,66.32,65.42,855248,6513674752.0,1.37,0.82,0.54,0.79,69.40299999999999,-0.17257167184035893,0.5165225975131653,-0.6890942693535242,46.118536490033286,69.40299999999999,75.62145993795893,63.18454006204105
2020-08-04,601318,66.45,68.31,68.99,65.84,1481462,11554011392.0,4.77,3.37,2.23,1.37,69.17549999999999,-0.0698918235027719,0.39923971330997793,-0.4691315368127498,53.034060035269015,69.17549999999999,75.20135919184976,63.14964080815022
2020-08-05,601318,67.58,66.77,67.59,66.24,787806,6075388416.0,1.98,-2.25,-1.54,0.73,68.7475,-0.1114971637111779,0.2970923379057468,-0.4085895016169247,48.41293582755657,68.7475,74.14749583333176,63.34750416666824
2020-08-06,601318,66.64,66.79,67.53,65.85,647563,4979623168.0,2.52,0.03,0.02,0.6,68.309,-0.14122787568400952,0.20942829518779554,-0.35065617087180506,48.47572700063166,68.309,72.76715612108868,63.85084387891132
2020-08-07,601318,66.6,65.97,67.31,65.65,549809,4215768272.0,2.49,-1.23,-0.82,0.51,68.0085,-0.22832483947260585,0.12187766825571528,-0.3502025077283211,46.00334412437694,68.0085,72.24086234271128,63.77613765728872
2020-08-10,601318,65.66,66.65,67.33,65.46,700073,5396774656.0,2.83,1.03,0.68,0.65,67.741,-0.23971619469759275,0.04955889566505368,-0.2892750903626464,48.3556508395227,67.741,71.58929260841747,63.89270739158253
2020-08-11,601318,67.09,66.41,68.32,66.15,775309,6036019200.0,3.26,-0.36,-0.24,0.72,67.5145,-0.2650545363160717,-0.013363790731171388,-0.2516907455849003,47.568008477139756,67.5145,71.10779083153598,63.92120916846402
2020-08-12,601318,66.44,66.8,67.1,66.04,586013,4513022464.0,1.6,0.59,0.39,0.54,67.3615,-0.25077483774003895,-0.0608460001329449,-0.18992883760709406,49.021156517266526,67.3615,70.79951265268187,63.923487347318144
2020-08-13,601318,67.14,66.24,67.24,66.15,421355,3236112224.0,1.63,-0.84,-0.56,0.39,67.28049999999999,-0.2814015714740208,-0.10495711440116008,-0.17644445707286072,47.00659557892404,67.28049999999999,70.74395766539747,63.81704233460251
2020-08-14,601318,66.11,67.83,68.13,65.98,632474,4893057536.0,3.25,2.4,1.59,0.58,67.289,-0.1753524133285822,-0.11903617418664451,-0.05631623914193769,52.92229282815238,67.289,70.75697289493453,63.821027105065475
2020-08-17,601318,67.87,70.74,72.21,67.87,1739400,14077887744.0,6.4,4.29,2.91,1.61,67.204,0.14186960417372063,-0.06685501851457148,0.20872462268829212,61.412388187839596,67.204,70.21618458929736,64.19181541070263
2020-08-18,601318,70.44,69.39,70.54,69.04,842506,6735058176.0,2.12,-1.91,-1.35,0.78,67.1535,0.28109631755388875,0.0027352486991205627,0.2783610688547682,56.33649417557828,67.1535,69.9776619996028,64.32933800039719
2020-08-19,601318,69.24,67.81,69.75,67.81,564734,4458976768.0,2.8,-2.28,-1.58,0.52,67.0655,0.26093381302206353,0.05437496156370916,0.20655885145835437,51.021333853112864,67.0655,69.68527460862582,64.44572539137418
2020-08-20,601318,67.74,67.24,67.74,66.79,498422,3863022128.0,1.4,-0.84,-0.57,0.46,66.9955,0.19669328881026615,0.08283862701302055,0.1138546617972456,49.21729156186559,66.9955,69.51619415042774,64.47480584957228
2020-08-21,601318,67.94,67.89,68.4,67.19,424459,3315620080.0,1.8,0.97,0.65,0.39,67.058,0.19597272666358379,0.1054654469431332,0.09050727972045058,51.33065221189566,67.058,69.60221382749182,64.51378617250819
2020-08-24,601318,68.59,67.44,68.64,67.27,472804,3698163536.0,2.02,-0.66,-0.45,0.44,67.1265,0.15727744034737157,0.11582784562398088,0.04144959472339069,49.78593748520537,67.1265,69.63413055492641,64.61886944507357
2020-08-25,601318,67.64,67.75,68.52,67.24,530479,4149072336.0,1.9,0.46,0.31,0.49,67.213,0.14989762981076638,0.12264180246133799,0.027255827349428385,50.88252031660308,67.213,69.68102836288413,64.74497163711585
2020-08-26,601318,67.64,66.44,67.69,66.24,542775,4191632784.0,2.14,-1.93,-1.31,0.5,67.188,0.037906067369718244,0.10569465544301405,-0.06778858807329581,46.28281379784623,67.188,69.67662693065887,64.69937306934114
2020-08-27,601318,66.79,66.18,66.81,65.64,448834,3425207264.0,1.76,-0.39,-0.26,0.41,67.2135,-0.0710093284729254,0.07035385865982617,-0.1413631871327516,45.40549653895641,67.2135,69.64927728866999,64.77772271133
2020-08-28,601318,66.11,67.53,67.85,65.49,765028,5893644032.0,3.57,2.04,1.35,0.71,67.313,-0.04784037275450714,0.046715012376959505,-0.09455538513146665,50.63762141824168,67.313,69.62672513492865,64.99927486507136
2020-08-31,601318,67.53,66.26,68.44,66.22,723130,5624026368.0,3.29,-1.88,-1.27,0.67,67.322,-0.13045340889813417,0.011281328121940767,-0.14173473702007494,46.1562180816933,67.322,69.61780138513778,65.02619861486222
2020-09-01,601318,65.72,66.02,66.23,65.64,471251,3593513072.0,0.89,-0.36,-0.24,0.44,67.20750000000001,-0.2128373727269377,-0.033542412047834924,-0.17929496067910278,45.33961545578133,67.20750000000001,69.52311546894137,64.89188453105865
2020-09-02,601318,66.25,65.57,66.44,65.24,556377,4229574496.0,1.82,-0.68,-0.45,0.51,67.1475,-0.3108551521059013,-0.0890049600594482,-0.22185019204645312,43.77574749757113,67.1475,69.56528307546408,64.72971692453591
2020-09-03,601318,65.63,65.03,66.06,64.79,599837,4540579584.0,1.94,-0.82,-0.54,0.55,67.05949999999999,-0.42718412282039253,-0.15664079261163708,-0.27054333020875543,41.9077243344148,67.05949999999999,69.64521054064458,64.47378945935539
2020-09-04,601318,64.44,64.46,64.74,64.19,478256,3575937392.0,0.85,-0.88,-0.57,0.44,66.984,-0.5589269446300875,-0.23709802301532718,-0.32182892161476034,39.96890766513107,66.984,69.77275886372425,64.19524113627574
2020-09-07,601318,64.46,64.7,65.89,64.39,633251,4787525632.0,2.33,0.37,0.24,0.58,66.8865,-0.6366294181889174,-0.31700430205004526,-0.3196251161388721,41.2023635032101,66.8865,69.84625860502179,63.9267413949782
2020-09-08,601318,65.62,66.78,67.1,65.34,866030,6642255616.0,2.72,3.21,2.08,0.8,66.905,-0.524326462507787,-0.35846873414159364,-0.1658577283661934,50.66366752014721,66.905,69.85722966586283,63.95277033413717
2020-09-09,601318,66.02,66.12,67.19,65.97,523982,4026858720.0,1.83,-0.99,-0.66,0.48,66.87100000000001,-0.48301415862647445,-0.3833778190385698,-0.09963633958790463,48.02304624564996,66.87100000000001,69.84288088590385,63.89911911409617
2020-09-10,601318,66.6,66.16,66.98,66.04,530354,4078037120.0,1.42,0.06,0.04,0.49,66.86699999999999,-0.4419516509288428,-0.39509258541662445,-0.046859065512218356,48.199262584673086,66.86699999999999,69.84248046540395,63.89151953459603
2020-09-11,601318,66.05,66.85,67.14,65.8,462178,3557564880.0,2.03,1.04,0.69,0.43,66.81800000000001,-0.34970094944576147,-0.3860142582224519,0.03631330877669042,51.26842307797589,66.81800000000001,69.76052680531556,63.87547319468445
2020-09-14,601318,67.26,68.19,68.74,67.26,729992,5730571520.0,2.21,2.0,1.34,0.67,66.6905,-0.16654497592543294,-0.3421204017630481,0.17557542583761515,56.641227442962006,66.6905,69.11815298179138,64.26284701820862
2020-09-15,601318,68.19,69.55,70.12,67.19,1014350,8095819008.0,4.3,1.99,1.36,0.94,66.6985,0.08734127086029275,-0.25622806723837993,0.3435693380986727,61.30429894470706,66.6985,69.16246651762977,64.23453348237022
2020-09-16,601318,69.73,69.04,69.93,68.88,467948,3693757696.0,1.51,-0.73,-0.51,0.43,66.76,0.24457589417264103,-0.15606727495617576,0.4006431691288168,58.75255099349894,66.76,69.38782038960059,64.13217961039942
2020-09-17,601318,69.55,69.44,70.22,69.14,668306,5303741184.0,1.56,0.58,0.4,0.62,66.87,0.39688705609344765,-0.04547640874625107,0.44236346483969874,60.153466331496944,66.87,69.74183564989374,63.998164350106265
2020-09-18,601318,70.04,73.33,73.5,69.92,1776008,14522782208.0,5.16,5.6,3.89,1.64,67.142,0.822009623910688,0.12802079778513675,0.6939888261255512,70.60824082789159,67.142,71.15320231352153,63.13079768647846
2020-09-21,601318,73.34,71.37,73.52,71.37,845314,6909679104.0,2.93,-2.67,-1.96,0.78,67.3385,0.9893619534095421,0.30028902891001785,0.6890729244995243,61.80861354037983,67.3385,71.75355730427142,62.92344269572857
2020-09-22,601318,70.14,69.51,71.17,69.44,679381,5407048704.0,2.42,-2.61,-1.86,0.63,67.4265,0.9608276024082585,0.43239674360966596,0.5284308587985925,54.82572904976672,67.4265,71.93992120790875,62.913078792091255
2020-09-23,601318,69.94,69.0,70.01,68.88,362116,2855189680.0,1.63,-0.73,-0.51,0.33,67.55449999999999,0.8868382664111465,0.523285048169962,0.3635532182411845,53.055781142161976,67.55449999999999,72.0938809049253,63.01511909507469
2020-09-24,601318,68.63,67.51,68.94,67.44,608373,4720617472.0,2.17,-2.16,-1.49,0.56,67.62100000000001,0.6999025955711033,0.5586085576501904,0.141294037920913,48.163668958572245,67.62100000000001,72.11664633840347,63.12535366159655
2020-09-25,601318,68.3,68.03,68.32,67.44,356684,2760347920.0,1.3,0.77,0.52,0.33,67.646,0.5869484079263856,0.5642765277054294,0.02267188022095623,49.89988658930644,67.646,72.14490386649909,63.14709613350091
2020-09-28,601318,68.03,68.39,69.03,67.85,371774,2897251520.0,1.73,0.53,0.36,0.34,67.7525,0.5204806152369201,0.5555173452117275,-0.035036729974807335,51.12050648611999,67.7525,72.2158255538892,63.289174446110785
2020-09-29,601318,68.93,67.24,68.94,67.14,519920,4014297168.0,2.63,-1.68,-1.15,0.48,67.8135,0.37073541452311076,0.5185609590740041,-0.14782554455089336,47.16718849530555,67.8135,72.21334215625976,63.41365784374025
2020-09-30,601318,67.34,66.7,67.88,66.45,476258,3652745792.0,2.13,-0.8,-0.54,0.44,67.87,0.20611184798637794,0.45607113685647893,-0.249959288870101,45.39207061823307,67.87,72.18128287172165,63.55871712827836
2020-10-09,601318,67.71,68.34,68.89,67.7,474288,3700952928.0,1.78,2.46,1.64,0.44,68.0355,0.20561062807314556,0.4059790350998123,-0.20036840702666675,51.37705767137429,68.0355,72.1475139834393,63.923486016560695
2020-10-12,601318,68.79,71.3,71.59,68.75,869929,7002973952.0,4.16,4.33,2.96,0.8,68.37750000000001,0.439000149473614,0.4125832579745727,0.026416891499041306,59.91611387395951,68.37750000000001,72.37941891472083,64.3755810852792
2020-10-13,601318,71.11,71.82,72.29,70.4,564429,4572861952.0,2.65,0.73,0.52,0.52,68.7335,0.6583338183831273,0.4617333700562837,0.19660044832684365,61.20507514112385,68.7335,72.62885248725968,64.83814751274033
2020-10-14,601318,71.94,71.82,71.95,70.94,500396,4060079456.0,1.41,0.0,0.0,0.46,68.9855,0.8226740567779558,0.5339215074006181,0.28875254937733774,61.20507514112386,68.9855,72.99321992534409,64.97778007465591
2020-10-15,601318,71.84,71.84,73.3,71.74,555022,4555169280.0,2.17,0.03,0.02,0.51,69.27149999999999,0.9436508924801359,0.6158673844165217,0.3277835080636142,61.260642337051735,69.27149999999999,73.23660416004421,65.30639583995577
2020-10-16,601318,72.24,72.44,73.33,71.94,607033,4992393472.0,1.93,0.84,0.6,0.56,69.5855,1.075542705153012,0.7078024485638197,0.3677402565891923,62.974031184551606,69.5855,73.50968896079175,65.66131103920824
2020-10-19,601318,73.11,72.29,74.82,72.25,917424,7642713600.0,3.55,-0.21,-0.15,0.85,69.85749999999999,1.1546540375302925,0.7971727663571143,0.3574812711731782,62.232978981430435,69.85749999999999,73.73945762470427,65.9755423752957
2020-10-20,601318,72.19,71.67,72.44,71.55,413186,3363220832.0,1.23,-0.86,-0.62,0.38,70.03150000000001,1.1540187106175637,0.8685419552092042,0.2854767554083595,59.135416457344114,70.03150000000001,73.91085703435502,66.152142965645
2020-10-21,601318,72.19,72.84,73.02,71.71,492492,4040506416.0,1.83,1.63,1.17,0.45,70.196,1.2337030703227754,0.9415741782319185,0.2921288920908569,62.88927407727416,70.196,74.25461257081773,66.13738742918227
2020-10-22,601318,72.96,72.54,73.32,70.72,466971,3811833392.0,3.57,-0.41,-0.3,0.43,70.37100000000001,1.2581429182932595,1.0048879262441868,0.25325499204907276,61.33349296780837,70.37100000000001,74.51604957750806,66.22595042249196
2020-10-23,601318,72.56,73.94,75.27,72.56,938809,7885042944.0,3.74,1.93,1.4,0.87,70.59599999999999,1.3746340479762011,1.0788371505905896,0.29579689738561155,65.60917999086814,70.59599999999999,74.9952199308513,66.19678006914867
2020-10-26,601318,74.04,72.64,74.81,71.62,596325,4915201792.0,4.31,-1.76,-1.3,0.55,70.5615,1.3465329780927533,1.1323763160910225,0.21415666200173078,59.07657667023638,70.5615,74.88457887968742,66.23842112031257
2020-10-27,601318,72.22,71.51,72.64,71.44,559257,4554557440.0,1.65,-1.56,-1.13,0.52,70.5685,1.2190289150433813,1.1497068358814944,0.06932207916188693,54.03977358025518,70.5685,74.89724242707966,66.23975757292034
2020-10-28,601318,70.95,70.02,71.5,69.5,769797,6137912576.0,2.8,-2.08,-1.49,0.71,70.59400000000001,0.9863801030811459,1.1170414893214247,-0.1306613862402788,48.20379857801977,70.59400000000001,74.90346586017334,66.28453413982668
2020-10-29,601318,68.52,69.1,70.33,68.46,727554,5723421440.0,2.67,-1.31,-0.92,0.67,70.599,0.7194742805685053,1.0375280475708408,-0.31805376700233556,44.97419274095058,70.599,74.90128264994289,66.29671735005712
2020-10-30,601318,69.09,68.27,69.89,68.08,764599,5985865728.0,2.62,-1.2,-0.83,0.71,70.63699999999999,0.4359500688498201,0.9172124518266368,-0.48126238297681667,42.22554865504343,70.63699999999999,74.84179773592017,66.4322022640798
2020-11-02,601318,68.94,67.67,69.25,67.45,638720,4955636480.0,2.64,-0.88,-0.6,0.59,70.619,0.1609843751232205,0.7659668364859535,-0.604982461362733,40.30775624247992,70.619,74.87110018696637,66.36689981303363
2020-11-03,601318,68.21,69.6,69.78,67.84,615433,4838929152.0,2.87,2.85,1.93,0.57,70.6795,0.0976809469884472,0.6323096585864523,-0.5346287115980051,48.422540589108245,70.6795,74.83638573333445,66.52261426666556
2020-11-04,601318,69.22,69.94,70.29,69.04,434671,3448542096.0,1.8,0.49,0.34,0.4,70.8145,0.07409357797131122,0.5206664424634241,-0.44657286449211286,49.719321182772546,70.8145,74.68104096060023,66.94795903939976
2020-11-05,601318,70.79,71.38,72.12,70.64,537095,4346336768.0,2.12,2.06,1.44,0.5,71.0485,0.16964086916333088,0.4504613278034055,-0.2808204586400746,54.89213756237584,71.0485,74.42625828027988,67.67074171972013
2020-11-06,601318,71.54,71.74,72.19,70.96,510389,4140944224.0,1.72,0.5,0.36,0.47,71.2185,0.27128457742873024,0.4146259777284705,-0.14334140029974024,56.10786802396113,71.2185,74.36843507869594,68.06856492130407
