日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-07-17,688981,79.0,77.06,84.9,75.0,2195971,17397820616.0,11.94,-7.07,-5.86,21.11,,,,,,,,
2020-07-20,688981,77.19,79.17,80.51,70.02,2286412,17009808114.0,13.61,2.74,2.11,21.98,,,,,,,,
2020-07-21,688981,78.3,78.63,82.89,77.77,1619190,12981259120.0,6.47,-0.68,-0.54,15.57,,,,,,,,
2020-07-22,688981,77.8,79.57,81.78,77.2,1339817,10685591549.0,5.82,1.2,0.94,12.88,,,,,,,,
2020-07-23,688981,78.01,78.78,79.72,75.85,1229613,9548497138.0,4.86,-0.99,-0.79,11.82,,,,,,,,
2020-07-24,688981,77.5,71.95,78.12,71.52,1302095,9699541201.0,8.38,-8.67,-6.83,12.52,,,,,,,,
2020-07-27,688981,72.67,70.82,73.81,70.02,791214,5665581061.0,5.27,-1.57,-1.13,7.61,,,,,,,,
2020-07-28,688981,72.82,72.56,75.16,72.03,810452,5953796577.0,4.42,2.46,1.74,7.79,,,,,,,,
2020-07-29,688981,71.9,75.07,75.2,71.6,869453,6438181959.0,4.96,3.46,2.51,8.36,,,,,,,,
2020-07-30,688981,75.27,75.69,76.39,73.2,994487,7439948758.0,4.25,0.83,0.62,9.56,,,,,,,,
2020-07-31,688981,74.9,82.21,84.99,74.81,1572974,12436670717.0,13.45,8.61,6.52,15.12,,,,,,,,
2020-08-03,688981,85.4,84.0,87.88,83.77,1433459,12272537076.0,5.0,2.18,1.79,13.78,,,,,,,,
2020-08-04,688981,84.3,81.08,84.49,80.2,855097,6998969790.0,5.11,-3.48,-2.92,8.22,,,,,,,,
2020-08-05,688981,87.0,83.0,87.0,82.58,1172657,9906627157.0,5.45,2.37,1.92,11.27,,,,,,,,
2020-08-06,688981,82.0,84.82,85.88,81.11,1012207,8490921925.0,5.75,2.19,1.82,9.73,,,,,66.17611042098217,,,
2020-08-07,688981,83.3,80.47,83.3,78.92,1118507,9063858255.0,5.16,-5.13,-4.35,10.75,,,,,54.302154087180575,,,
2020-08-10,688981,78.32,77.89,79.65,76.86,723145,5640448514.0,3.47,-3.21,-2.58,6.95,,,,,48.71867595826963,,,
2020-08-11,688981,77.8,76.4,78.8,76.33,544883,4224837727.0,3.17,-1.91,-1.49,5.24,,,,,45.79039085646452,,,
2020-08-12,688981,76.33,75.23,76.92,73.78,554211,4145515555.0,4.11,-1.53,-1.17,5.33,,,,,43.575537823414244,,,
2020-08-13,688981,75.81,75.18,76.66,74.86,378701,2870793404.0,2.39,-0.07,-0.05,3.64,77.979,,,,43.47875095272361,77.979,85.67841010727444,70.27958989272555
2020-08-14,688981,75.0,75.55,75.77,74.45,299984,2253981310.0,1.76,0.49,0.37,2.88,77.9035,,,,44.46181492227824,77.9035,85.66682473879587,70.14017526120412
2020-08-17,688981,75.0,76.02,76.45,74.0,571404,4296725179.0,3.24,0.62,0.47,5.49,77.74600000000001,,,,45.75252985641749,77.74600000000001,85.52794680012657,69.96405319987345
2020-08-18,688981,76.18,74.28,76.18,74.09,605756,4518610642.0,2.75,-2.29,-1.74,5.82,77.52850000000001,,,,41.87275714842132,77.52850000000001,85.44151529127804,69.61548470872198
2020-08-19,688981,74.0,71.84,74.0,71.77,609815,4420159223.0,3.0,-3.28,-2.44,5.86,77.142,,,,37.11923570452563,77.142,85.36735980975908,68.91664019024091
2020-08-20,688981,71.2,72.1,73.09,70.86,343169,2482746397.0,3.1,0.36,0.26,3.3,76.80799999999999,,,,37.92786374345504,76.80799999999999,85.27901316254436,68.33698683745563
2020-08-21,688981,72.71,71.87,72.93,71.5,255023,1838705598.0,1.98,-0.32,-0.23,2.45,76.804,-2.074956501162191,,,37.46883451457228,76.804,85.28425565652356,68.32374434347645
2020-08-24,688981,72.0,72.0,72.85,70.72,356432,2556484744.0,2.96,0.18,0.13,3.43,76.863,-2.1522610236658295,,,37.92612379778541,76.863,85.19095557144728,68.53504442855272
2020-08-25,688981,72.29,70.82,72.8,70.8,351522,2513603578.0,2.78,-1.64,-1.18,3.38,76.776,-2.2824311079787662,,,35.39583550127715,76.776,85.31561216917957,68.23638783082042
2020-08-26,688981,70.69,66.26,71.45,65.51,837232,5706333210.0,8.39,-6.44,-4.56,8.05,76.3355,-2.722166289614492,,,27.703839779603445,76.3355,86.01454845529764,66.65645154470235
2020-08-27,688981,65.89,67.23,68.6,63.89,629554,4165452163.0,7.11,1.46,0.97,6.05,75.9125,-2.958287400131212,,,31.13226168610311,75.9125,86.37514569791023,65.44985430208976
2020-08-28,688981,67.8,66.78,68.19,66.21,413508,2766905087.0,2.95,-0.67,-0.45,3.98,75.14099999999999,-3.145467331161342,,,30.41174209902699,75.14099999999999,85.9036630533525,64.37833694664748
2020-08-31,688981,66.9,66.68,67.8,66.67,325667,2184027042.0,1.69,-0.15,-0.1,3.13,74.275,-3.264249700701612,,,30.24422860365637,74.275,84.83229226648572,63.71770773351429
2020-09-01,688981,66.3,65.35,66.47,65.01,324183,2124384593.0,2.19,-1.99,-1.33,3.12,73.4885,-3.426210250048541,,,28.0326188416565,73.4885,84.2426438989814,62.734356101018605
2020-09-02,688981,65.5,64.17,65.54,64.02,369509,2384141970.0,2.33,-1.81,-1.18,3.55,72.547,-3.60818834141665,-2.8482464384311816,-0.7599419029854682,26.201930853000572,72.547,83.10062894932348,61.99337105067652
2020-09-03,688981,64.19,65.08,65.48,63.03,554442,3565824917.0,3.82,1.42,0.91,5.33,71.55999999999999,-3.637052221076388,-3.006007594960223,-0.6310446261161649,29.99858923016335,71.55999999999999,80.96788605373163,62.152113946268344
2020-09-04,688981,63.9,66.28,67.54,63.51,534911,3542800043.0,6.19,1.84,1.2,5.14,70.85050000000001,-3.522491987521178,-3.1093044734724145,-0.41318751404876375,34.764695821697394,70.85050000000001,79.57934980968274,62.12165019031728
2020-09-07,688981,61.4,58.8,62.2,58.66,1276086,7669073402.0,5.34,-11.29,-7.48,12.27,69.896,-3.989289616644342,-3.2853015021068,-0.703988114537542,23.859674689473948,69.896,79.47099535247918,60.321004647520816
2020-09-08,688981,58.2,57.55,58.8,57.28,511857,2964336871.0,2.59,-2.13,-1.25,4.92,68.95349999999999,-4.409267364628079,-3.5100946746110564,-0.8991726900170223,22.58471684277733,68.95349999999999,79.44881566938305,58.45818433061693
